[0, '****************', '************************************************', '111110100001011000111110110110111010100100100110', '****************', '************', '***', '********************************', '01110011101000111010101100011110', '******', '********', '0000000001000011', '0000000010000000']
[63, '****************', '************************************************', '************************************************', '****************', '************', '***', '********************************', '01110011101000111010101100011110', '******', '********', '0000000001000011', '0000100000000000']
[64, '****************', '************************************************', '111110100001011000111110010011110100000110001111', '****************', '************', '***', '********************************', '01110011101000111010101100011110', '******', '********', '0000000001000011', '0000000001000011']
[65, '****************', '************************************************', '111110100001011000111110110001100010001001101011', '****************', '************', '***', '********************************', '01110011101000111010101100011110', '******', '********', '0000000001000011', '0000000000010000']
[66, '****************', '************************************************', '************************************************', '****************', '************', '***', '********************************', '01110011101000111010101100011110', '******', '********', '0000000001000011', '0000000010000000']
[67, '****************', '************************************************', '************************************************', '****************', '************', '***', '********************************', '01110011101000111010101100011110', '******', '********', '0000000001000011', '0000000000000001']
[68, '****************', '************************************************', '************************************************', '****************', '************', '***', '********************************', '01110011101000111010101100011110', '******', '********', '0000000001000011', '0001000000000000']
[69, '****************', '************************************************', '************************************************', '****************', '************', '***', '********************************', '01110011101000111010101100011110', '******', '********', '0000000001000011', '0010000000000000']
[70, '****************', '************************************************', '111110100001011000111110110110111000101011101101', '****************', '************', '***', '********************************', '01110011101000111010101100011110', '******', '********', '0000000001000011', '0000001000000000']
[71, '****************', '************************************************', '111110100001011000111110110010101001010000000000', '****************', '************', '***', '********************************', '01110011101000111010101100011110', '******', '********', '0000000001000011', '0000100000000000']
[72, '****************', '************************************************', '111110100001011000111110011110101000010011100100', '****************', '************', '***', '10000000010011000010001101011001', '01110011101000111010101100011110', '******', '********', '0000000001000011', '0000000000000010']
[73, '****************', '************************************************', '111110100001011000111110111001101000001010111100', '****************', '************', '***', '********************************', '01110011101000111010101100011110', '******', '********', '0000000001000011', '0000000001000000']
[74, '****************', '************************************************', '111110100001011000111110000010000111110001010010', '****************', '************', '***', '********************************', '01110011101000111010101100011110', '******', '********', '0000000001000011', '1000000000000000']
[75, '****************', '************************************************', '************************************************', '****************', '************', '***', '********************************', '01110011101000111010101100011110', '******', '********', '0000000001000011', '0001000000000000']
[76, '****************', '************************************************', '************************************************', '****************', '************', '***', '********************************', '01110011101000111010101100011110', '******', '********', '0000000001000011', '0100000000000000']
[77, '****************', '************************************************', '************************************************', '****************', '************', '***', '********************************', '01110011101000111010101100011110', '******', '********', '0000000001000011', '1111000000000000']
[78, '****************', '************************************************', '************************************************', '****************', '************', '***', '********************************', '01110011101000111010101100011110', '******', '********', '0000000001000011', '0010000000000000']
[79, '****************', '************************************************', '************************************************', '****************', '************', '***', '********************************', '01110011101000111010101100100001', '******', '********', '0000000001000011', '0000000000100000']
[80, '****************', '************************************************', '111110100001011000111110001010000101101001001100', '****************', '************', '***', '********************************', '01110011101000111010101100100001', '******', '********', '0000000001000011', '0000000000000001']
[81, '****************', '************************************************', '111110100001011000111110110000010100001000101100', '****************', '************', '***', '********************************', '01110011101000111010101100100001', '******', '********', '0000000001000011', '0000000010000000']
[82, '****************', '************************************************', '111110100001011000111110100011101100010100101100', '****************', '************', '***', '********************************', '01110011101000111010101100100001', '******', '********', '0000000001000011', '0000000000010000']
[83, '****************', '************************************************', '111110100001011000111110101100101101101101011111', '****************', '************', '***', '********************************', '01110011101000111010101100100001', '******', '********', '0000000001000011', '0001000000000000']
[84, '****************', '************************************************', '************************************************', '****************', '************', '***', '********************************', '01110011101000111010101100100001', '******', '********', '0000000110111011', '1000000000000000']
[85, '****************', '111110100001011000111110010000111110001111100001', '111110100001011000111110110010010011101000110000', '****************', '************', '***', '10000000010011000010001100111000', '01110011101000111010101100100001', '******', '********', '0000000001000011', '0000000100000000']
[86, '****************', '************************************************', '************************************************', '****************', '************', '***', '********************************', '01110011101000111010101100100001', '******', '********', '0000000001000011', '0100000000000000']
[87, '****************', '************************************************', '111110100001011000111110010000001011011100111010', '****************', '************', '***', '********************************', '01110011101000111010101100100001', '******', '********', '0000000001000011', '0000010000000000']
[88, '****************', '************************************************', '************************************************', '****************', '************', '***', '********************************', '01110011101000111010101100100001', '******', '********', '0000000001000011', '0000000000001000']
[89, '****************', '************************************************', '************************************************', '****************', '************', '***', '********************************', '01110011101000111010101100100001', '******', '********', '0000000001000011', '0000000001000011']
[90, '****************', '************************************************', '************************************************', '****************', '************', '***', '********************************', '01110011101000111010101100100001', '******', '********', '0000101101001000', '0100000000000000']
[91, '****************', '************************************************', '************************************************', '****************', '************', '***', '********************************', '01110011101000111010101100100001', '******', '********', '0000000001000011', '1000000000000000']
[92, '****************', '************************************************', '************************************************', '****************', '************', '***', '********************************', '01110011101000111010101100100001', '******', '********', '0000000001000011', '0000000000000100']
[93, '****************', '************************************************', '111110100001011000111110110101100001100100000011', '****************', '************', '***', '********************************', '01110011101000111010101100100001', '******', '********', '0000000001000011', '0000000000000001']
[94, '****************', '************************************************', '************************************************', '****************', '************', '***', '********************************', '01110011101000111010101100100001', '******', '********', '0000000001000011', '0000000000100000']
[95, '****************', '111110100001011000111110000111101000111100001001', '111110100001011000111110010000011101010110110010', '****************', '************', '***', '10000000010011000010001100111000', '01110011101000111010101100100001', '******', '********', '0000000001000011', '0000000001000100']
[96, '****************', '************************************************', '111110100001011000111110111111100101100111010111', '****************', '************', '***', '********************************', '01110011101000111010101100100001', '******', '********', '0000000001000011', '0000000000010000']
[97, '****************', '************************************************', '111110100001011000111110001111000110011111000111', '****************', '************', '***', '********************************', '01110011101000111010101100100001', '******', '********', '0000000001000011', '0000000001000100']
[98, '****************', '************************************************', '111110100001011000111110110000001010101000100110', '****************', '************', '***', '********************************', '01110011101000111010101100100001', '******', '********', '0000101101001000', '0000000000000100']
[99, '****************', '************************************************', '111110100001011000111110111001101010010010011110', '****************', '************', '***', '********************************', '01110011101000111010101100100001', '******', '********', '0000000001000011', '0000000000100000']
[100, '****************', '************************************************', '************************************************', '****************', '************', '***', '********************************', '01110011101000111010101100100001', '******', '********', '0000000001000011', '0000000010000000']
[101, '****************', '************************************************', '111110100001011000111110010010000110111101101110', '****************', '************', '***', '********************************', '01110011101000111010101100100001', '******', '********', '0000000001000011', '0000000000000001']
[102, '****************', '111110100001011000111110010000011010000101110101', '111110100001011000111110011000001001101100100011', '****************', '************', '***', '10000000010011000010001100110001', '01110011101000111010101100100001', '******', '********', '0000000001000011', '0000000100000000']
[103, '****************', '************************************************', '************************************************', '****************', '************', '***', '********************************', '01110011101000111010101100100001', '******', '********', '0000000001000011', '0000000001000011']
[104, '****************', '************************************************', '111110100001011000111110011011100001000001111110', '****************', '************', '***', '********************************', '01110011101000111010101100100001', '******', '********', '0000000001000011', '0000000000010000']
[105, '****************', '************************************************', '************************************************', '****************', '************', '***', '********************************', '01110011101000111010101100100001', '******', '********', '0000000001000011', '0000000000000001']
[106, '****************', '************************************************', '111110100001011000111110110110001011010111111100', '****************', '************', '***', '********************************', '01110011101000111010101100100001', '******', '********', '0000000001000011', '0000010000000000']
[107, '****************', '************************************************', '************************************************', '****************', '************', '***', '********************************', '01110011101000111010101100100001', '******', '********', '0000000001000011', '0000000001000100']
[108, '****************', '************************************************', '************************************************', '****************', '************', '***', '********************************', '01110011101000111010101100100001', '******', '********', '0000000001000011', '0000010000000000']
[109, '****************', '************************************************', '111110100001011000111110001111110011001110000010', '****************', '************', '***', '********************************', '01110011101000111010101100100001', '******', '********', '0000000001000011', '0000000001000000']
[110, '****************', '************************************************', '111110100001011000111110010000000100011101000001', '****************', '************', '***', '********************************', '01110011101000111010101100100001', '******', '********', '0000000001000011', '0000000000000010']
[111, '****************', '************************************************', '111110100001011000111110001011001010110111100011', '****************', '************', '***', '********************************', '01110011101000111010101100100001', '******', '********', '0000000001000011', '0000001000000000']
[112, '****************', '************************************************', '************************************************', '****************', '************', '***', '********************************', '01110011101000111010101100100001', '******', '********', '0000000001000011', '0000000000010000']
[113, '****************', '************************************************', '************************************************', '****************', '************', '***', '********************************', '01110011101000111010101100100001', '******', '********', '0000000001000011', '0000000000001000']
[114, '****************', '************************************************', '************************************************', '****************', '************', '***', '********************************', '01110011101000111010101100100001', '******', '********', '0000000001000011', '0100000000000000']
[115, '****************', '************************************************', '111110100001011000111110100101001001111010111100', '****************', '************', '***', '********************************', '01110011101000111010101100100001', '******', '********', '0000000001000011', '1000000000000000']
[116, '****************', '************************************************', '111110100001011000111110011010111000111111100110', '****************', '************', '***', '********************************', '01110011101000111010101100100001', '******', '********', '0000000001000011', '0000000001000011']
[117, '****************', '************************************************', '************************************************', '****************', '************', '***', '********************************', '01110011101000111010101100100001', '******', '********', '0000000001000011', '0000000010000000']
[118, '****************', '************************************************', '111110100001011000111110101010110011101100110100', '****************', '************', '***', '********************************', '01110011101000111010101100100001', '******', '********', '0000000001000011', '0000000000000001']
[119, '****************', '************************************************', '************************************************', '****************', '************', '***', '********************************', '01110011101000111010101100100001', '******', '********', '0000000001000011', '0000010000000000']
[120, '****************', '************************************************', '************************************************', '****************', '************', '***', '********************************', '01110011101000111010101100100001', '******', '********', '0000000001000011', '0000000001000011']
[121, '****************', '************************************************', '111110100001011000111110011101110110111010100001', '****************', '************', '***', '********************************', '01110011101000111010101100100001', '******', '********', '0000000001000011', '0000000100000000']
[122, '****************', '************************************************', '111110100001011000111110000001011000001001110001', '****************', '************', '***', '********************************', '01110011101000111010101100100001', '******', '********', '0000000001000011', '1000000000000000']
[123, '****************', '************************************************', '************************************************', '****************', '************', '***', '********************************', '01110011101000111010101100100001', '******', '********', '0000000001000011', '1000000000000000']
[124, '****************', '************************************************', '************************************************', '****************', '************', '***', '********************************', '01110011101000111010101100100001', '******', '********', '0000000001000011', '0000000000000100']
[125, '****************', '************************************************', '111110100001011000111110000001110101000001000110', '****************', '************', '***', '********************************', '01110011101000111010101100100001', '******', '********', '0000000001000011', '0000000000000001']
[126, '****************', '************************************************', '111110100001011000111110100111101001011001001011', '****************', '************', '***', '********************************', '01110011101000111010101100100001', '******', '********', '0000000001000011', '0000000100000000']
[127, '****************', '111110100001011000111110000111001101101001010100', '111110100001011000111110111001111000001001101101', '****************', '************', '***', '10000000010011000010001100011101', '01110011101000111010101100100001', '******', '********', '0000000001000011', '0000000110111011']
[128, '****************', '************************************************', '111110100001011000111110110000100000011001100000', '****************', '************', '***', '********************************', '01110011101000111010101100100001', '******', '********', '0000000001000011', '0010000000000000']
[129, '****************', '************************************************', '************************************************', '****************', '************', '***', '********************************', '01110011101000111010101100100001', '******', '********', '0000000001000011', '1111111111100000']
[130, '****************', '************************************************', '111110100001011000111110001010101101111011010011', '****************', '************', '***', '********************************', '01110011101000111010101100100001', '******', '********', '0000000001000011', '0000000000000100']
[131, '****************', '************************************************', '************************************************', '****************', '************', '***', '********************************', '01110011101000111010101100100001', '******', '********', '0000000001000011', '0000010000000000']
[132, '****************', '************************************************', '111110100001011000111110010001100110010111010000', '****************', '************', '***', '********************************', '01110011101000111010101100100001', '******', '********', '0000000001000011', '1000000000000000']
[133, '****************', '************************************************', '************************************************', '****************', '************', '***', '********************************', '01110011101000111010101100100001', '******', '********', '0000000001000011', '0000000000000010']
[134, '****************', '************************************************', '************************************************', '****************', '************', '***', '********************************', '01110011101000111010001101100101', '******', '********', '0000101101001000', '0000000000000001']
[135, '****************', '************************************************', '111110100001011000111110101111101001111011101110', '****************', '************', '***', '10000000010011000010001110100111', '01110011101000111010001101100101', '******', '********', '0000000001000011', '0001000000000000']
[136, '****************', '************************************************', '111110100001011000111110101001001001101100001001', '****************', '************', '***', '10000000010011000010001110100111', '01110011101000111010001101100101', '******', '********', '0000000001000011', '0000100000000000']
[137, '****************', '************************************************', '************************************************', '****************', '************', '***', '********************************', '01110011101000111010001101100101', '******', '********', '0000000001000011', '0000000001000011']
[138, '****************', '************************************************', '111110100001011000111110001010010111111101000001', '****************', '************', '***', '********************************', '01110011101000111010001101100101', '******', '********', '0000000001000011', '0000010000000000']
[139, '****************', '************************************************', '************************************************', '****************', '************', '***', '********************************', '01110011101000111010001101100101', '******', '********', '0000000001000011', '0000001000000000']
[140, '****************', '************************************************', '111110100001011000111110111111001000111011000100', '****************', '************', '***', '********************************', '01110011101000111010001101100101', '******', '********', '0000000001000011', '1111100000000000']
[141, '****************', '************************************************', '************************************************', '****************', '************', '***', '********************************', '01110011101000111010001101100101', '******', '********', '0000000001000011', '1111111111111000']
[142, '****************', '************************************************', '************************************************', '****************', '************', '***', '********************************', '01110011101000111010001101100101', '******', '********', '0000000001000011', '0000000001000000']
[143, '****************', '************************************************', '************************************************', '****************', '************', '***', '********************************', '01110011101000111010001101100101', '******', '********', '0000000001000011', '0000000000000010']
[144, '****************', '************************************************', '************************************************', '****************', '************', '***', '********************************', '01110011101000111010001101100101', '******', '********', '0000101101001000', '0000000100000000']
[145, '****************', '************************************************', '111110100001011000111110110100111110011010010001', '****************', '************', '***', '********************************', '01110011101000111010001101100101', '******', '********', '0000000001000011', '0100000000000000']
[146, '****************', '111110100001011000111110110001001100100010101110', '111110100001011000111110110101010101101110110100', '****************', '************', '***', '10000000010011000010001110100111', '01110011101000111010001101100101', '******', '********', '0000000001000011', '0000000000001000']
