nw_src=197.126.215.5/32, nw_dst=76.135.24.69/32, tp_src=445, tp_dst=67, dl_dst=fa:16:3e:cd:bc:f5
nw_src=201.96.23.6/32, nw_dst=76.135.24.69/32, tp_src=445, tp_dst=59677, dl_dst=fa:16:3e:b7:18:72
nw_src=201.96.23.5/32, nw_dst=76.135.24.69/32, tp_src=445, tp_dst=34764, dl_dst=fa:16:3e:fe:c1:2c
nw_src=201.96.23.81/32, nw_dst=76.135.24.69/32, tp_src=445, tp_dst=34886, dl_dst=fa:16:3e:4b:23:1d
nw_dst=76.135.24.69/32, tp_src=445, tp_dst=60363
nw_src=201.96.23.85/32, nw_dst=76.135.24.69/32, tp_src=445, tp_dst=33550, dl_dst=fa:16:3e:94:49:b9
nw_src=201.96.23.87/32, nw_dst=76.135.24.69/32, tp_src=445, tp_dst=34429, dl_dst=fa:16:3e:49:06:9a
nw_src=201.96.23.90/32, nw_dst=76.135.24.69/32, tp_src=445, tp_dst=4, dl_dst=fa:16:3e:ea:44:9d
nw_src=201.96.23.88/32, nw_dst=76.135.24.69/32, tp_src=445, tp_dst=59806, dl_dst=fa:16:3e:91:ab:51
nw_src=201.96.23.88/32, nw_dst=76.135.24.69/32, tp_src=445, tp_dst=58212, dl_dst=fa:16:3e:e3:ac:6d
nw_src=201.96.23.125/32, nw_dst=76.135.24.69/32, tp_src=445, tp_dst=59700, dl_dst=fa:16:3e:cd:d9:5d
nw_src=201.96.23.115/32, nw_dst=76.135.24.69/32, tp_src=445, tp_dst=56048, dl_dst=fa:16:3e:d7:9c:7e
nw_src=201.96.23.117/32, nw_dst=76.135.24.69/32, tp_src=67, tp_dst=33805, dl_dst=fa:16:3e:c8:d2:64
nw_src=201.96.23.158/32, nw_dst=76.135.24.164/32, tp_src=445, tp_dst=58635, dl_dst=fa:16:3e:96:29:86
nw_src=201.96.23.158/32, nw_dst=76.135.24.164/32, tp_src=445, tp_dst=59050, dl_dst=fa:16:3e:b4:01:57
nw_src=201.96.23.158/32, nw_dst=76.135.24.164/32, tp_src=445, tp_dst=56193, dl_dst=fa:16:3e:37:64:45
nw_src=201.96.23.158/32, nw_dst=76.135.24.164/32, tp_src=445, tp_dst=60503, dl_dst=fa:16:3e:78:05:0b
nw_src=201.96.23.158/32, nw_dst=76.135.24.164/32, tp_src=445, tp_dst=33691, dl_dst=fa:16:3e:77:fc:d6
nw_src=201.96.23.158/32, nw_dst=76.135.24.164/32, tp_src=445, tp_dst=33496, dl_dst=fa:16:3e:2f:0b:1a
nw_src=201.96.23.158/32, nw_dst=76.135.24.164/32, tp_src=445, tp_dst=58095, dl_dst=fa:16:3e:ad:cf:28
nw_src=201.96.23.158/32, nw_dst=76.135.24.164/32, tp_src=445, tp_dst=32944, dl_dst=fa:16:3e:d7:75:59
nw_src=201.96.23.148/32, nw_dst=76.135.24.164/32, tp_src=445, tp_dst=55827, dl_dst=fa:16:3e:9b:46:24
nw_src=201.96.23.148/32, nw_dst=76.135.24.164/32, tp_src=445, tp_dst=33943, dl_dst=fa:16:3e:b4:50:d7
nw_src=201.96.23.148/32, nw_dst=76.135.24.164/32, tp_src=445, tp_dst=33464, dl_dst=fa:16:3e:02:c3:89
nw_src=201.96.23.148/32, nw_dst=76.135.24.164/32, tp_src=445, tp_dst=59763, dl_dst=fa:16:3e:b9:83:97
nw_src=201.96.23.148/32, nw_dst=76.135.24.164/32, tp_src=445, tp_dst=58301, dl_dst=fa:16:3e:2e:2d:2a
nw_src=201.96.23.148/32, nw_dst=76.135.24.164/32, tp_src=445, tp_dst=55730, dl_dst=fa:16:3e:7e:ae:5c
nw_src=201.96.59.246/32, nw_dst=76.135.24.164/32, tp_src=445, tp_dst=60141, dl_dst=fa:16:3e:d8:7a:93
nw_src=201.96.59.246/32, nw_dst=76.135.24.164/32, tp_src=445, tp_dst=60567, dl_dst=fa:16:3e:18:af:2f
nw_src=201.96.59.246/32, nw_dst=76.135.24.164/32, tp_src=445, tp_dst=34677, dl_dst=fa:16:3e:a3:7a:09
nw_src=201.96.59.246/32, nw_dst=76.135.24.164/32, tp_src=445, tp_dst=34030, dl_dst=fa:16:3e:b8:50:5a
nw_src=201.96.59.246/32, nw_dst=76.135.24.164/32, tp_src=445, tp_dst=59169, dl_dst=fa:16:3e:43:84:2c
nw_src=201.96.59.246/32, nw_dst=76.135.24.164/32, tp_src=445, tp_dst=60462, dl_dst=fa:16:3e:76:6e:5b
nw_src=201.96.59.246/32, nw_dst=76.135.24.164/32, tp_src=445, tp_dst=56395, dl_dst=fa:16:3e:2d:5b:28
nw_src=201.96.59.246/32, nw_dst=76.135.24.164/32, tp_src=445, tp_dst=34184, dl_dst=fa:16:3e:50:c1:60
nw_src=201.96.59.246/32, nw_dst=76.135.24.164/32, tp_src=445, tp_dst=33020, dl_dst=fa:16:3e:12:27:37
nw_src=201.96.59.246/32, nw_dst=76.135.24.164/32, tp_src=445, tp_dst=58766, dl_dst=fa:16:3e:e7:fa:35
nw_src=201.96.59.246/32, nw_dst=76.135.24.164/32, tp_src=445, tp_dst=33884, dl_dst=fa:16:3e:8d:f7:a2
nw_src=201.96.59.246/32, nw_dst=76.135.24.164/32, tp_src=445, tp_dst=60510, dl_dst=fa:16:3e:25:35:75
nw_src=201.96.59.254/32, nw_dst=76.135.24.164/32, tp_src=445, tp_dst=57548, dl_dst=fa:16:3e:6a:0a:e9
nw_src=201.96.59.254/32, nw_dst=76.135.24.164/32, tp_src=445, tp_dst=57727, dl_dst=fa:16:3e:ce:62:84
nw_src=201.96.59.254/32, nw_dst=76.135.24.164/32, tp_src=445, tp_dst=57436, dl_dst=fa:16:3e:85:c9:30
nw_dst=76.135.24.164/32, tp_src=445, tp_dst=35532
nw_src=201.96.59.254/32, nw_dst=76.135.24.164/32, tp_src=445, tp_dst=8192, dl_dst=fa:16:3e:60:1f:31
nw_src=201.96.59.254/32, nw_dst=76.135.24.164/32, tp_src=445, tp_dst=58117, dl_dst=fa:16:3e:eb:2c:9a
nw_src=201.96.59.252/32, nw_dst=76.135.24.164/32, tp_src=445, tp_dst=59271, dl_dst=fa:16:3e:f3:ae:5e
nw_src=201.96.59.252/32, nw_dst=76.135.24.164/32, tp_src=445, tp_dst=59706, dl_dst=fa:16:3e:50:07:35
nw_src=201.96.59.252/32, nw_dst=76.135.24.164/32, tp_src=445, tp_dst=34251, dl_dst=fa:16:3e:3d:36:33
nw_src=201.96.59.252/32, nw_dst=76.135.24.164/32, tp_src=445, tp_dst=33473, dl_dst=fa:16:3e:94:20:6e
nw_src=201.96.59.252/32, nw_dst=76.135.24.164/32, tp_src=445, tp_dst=55892, dl_dst=fa:16:3e:56:d7:3b
nw_src=201.96.59.194/32, nw_dst=76.135.24.164/32, tp_src=445, tp_dst=256, dl_dst=fa:16:3e:e0:47:02
nw_src=201.96.59.194/32, nw_dst=76.135.24.164/32, tp_src=445, tp_dst=33180, dl_dst=fa:16:3e:d6:a9:39
nw_src=201.96.59.194/32, nw_dst=76.135.24.164/32, tp_src=445, tp_dst=60005, dl_dst=fa:16:3e:94:83:41
nw_src=201.96.59.194/32, nw_dst=76.135.24.164/32, tp_src=445, tp_dst=57807, dl_dst=fa:16:3e:95:bc:a1
nw_src=201.96.59.194/32, nw_dst=76.135.24.164/32, tp_src=445, tp_dst=65520, dl_dst=fa:16:3e:75:14:8b
nw_src=201.96.59.197/32, nw_dst=76.135.24.164/32, tp_src=445, tp_dst=35378, dl_dst=fa:16:3e:d8:45:86
nw_src=201.96.59.197/32, nw_dst=76.135.24.164/32, tp_src=445, tp_dst=58538, dl_dst=fa:16:3e:b2:3f:0d
nw_src=201.96.59.197/32, nw_dst=76.135.24.164/32, tp_src=445, tp_dst=34898, dl_dst=fa:16:3e:0a:30:4f
nw_src=201.96.59.197/32, nw_dst=76.135.24.164/32, tp_src=445, tp_dst=56929, dl_dst=fa:16:3e:15:85:f4
nw_src=201.96.59.197/32, nw_dst=76.135.24.164/32, tp_src=445, tp_dst=33101, dl_dst=fa:16:3e:ab:a9:ce
nw_src=201.96.59.207/32, nw_dst=76.135.25.15/32, tp_src=445, tp_dst=60343, dl_dst=fa:16:3e:cd:9f:5c
nw_src=201.96.59.207/32, nw_dst=76.135.25.15/32, tp_src=445, tp_dst=33335, dl_dst=fa:16:3e:52:98:b9
nw_src=201.96.59.207/32, nw_dst=76.135.25.15/32, tp_src=445, tp_dst=56697, dl_dst=fa:16:3e:35:8e:53
nw_src=201.96.59.207/32, nw_dst=76.135.25.15/32, tp_src=445, tp_dst=58845, dl_dst=fa:16:3e:45:ea:3b
nw_src=201.96.59.207/32, nw_dst=76.135.25.15/32, tp_src=445, tp_dst=34205, dl_dst=fa:16:3e:20:4e:11
nw_src=201.96.59.207/32, nw_dst=76.135.25.15/32, tp_src=445, tp_dst=56677, dl_dst=fa:16:3e:85:b6:c4
nw_src=201.96.59.204/32, nw_dst=76.135.25.15/32, tp_src=445, tp_dst=60488, dl_dst=fa:16:3e:33:e3:37
nw_src=201.96.59.204/32, nw_dst=76.135.25.15/32, tp_src=445, tp_dst=34123, dl_dst=fa:16:3e:d7:ec:d8
nw_src=201.102.204.244/32, nw_dst=76.135.25.15/32, tp_src=445, tp_dst=33077, dl_dst=fa:16:3e:81:71:d8
nw_src=201.102.204.244/32, nw_dst=76.135.25.15/32, tp_src=67, tp_dst=57517, dl_dst=fa:16:3e:b1:b0:4f
nw_src=201.102.204.244/32, nw_dst=76.135.25.15/32, tp_src=445, tp_dst=58687, dl_dst=fa:16:3e:1b:00:8a
nw_src=201.102.204.244/32, nw_dst=76.135.25.15/32, tp_src=445, tp_dst=33033, dl_dst=fa:16:3e:07:51:5d
nw_src=201.102.204.244/32, nw_dst=76.135.25.15/32, tp_src=445, tp_dst=34374, dl_dst=fa:16:3e:d4:61:5a
nw_src=201.102.204.244/32, nw_dst=76.135.25.15/32, tp_src=445, tp_dst=128, dl_dst=fa:16:3e:53:b8:e2
nw_src=201.102.204.244/32, nw_dst=76.135.25.15/32, tp_src=445, tp_dst=8, dl_dst=fa:16:3e:2d:ed:d0
nw_src=201.102.204.244/32, nw_dst=76.135.25.15/32, tp_src=445, tp_dst=58531, dl_dst=fa:16:3e:cb:14:ad
nw_src=201.102.204.244/32, nw_dst=76.135.25.15/32, tp_src=445, tp_dst=33344, dl_dst=fa:16:3e:4d:95:7d
nw_src=201.102.204.244/32, nw_dst=76.135.25.15/32, tp_src=445, tp_dst=35149, dl_dst=fa:16:3e:fc:d2:db
nw_src=201.102.204.244/32, nw_dst=76.135.25.15/32, tp_src=445, tp_dst=33273, dl_dst=fa:16:3e:b5:14:2d
nw_src=201.102.204.244/32, nw_dst=76.135.25.15/32, tp_src=445, tp_dst=57186, dl_dst=fa:16:3e:e1:2e:c6
nw_src=201.102.204.244/32, nw_dst=76.135.25.15/32, tp_src=445, tp_dst=59936, dl_dst=fa:16:3e:e1:f1:3a
nw_src=201.102.204.244/32, nw_dst=76.135.25.15/32, tp_src=445, tp_dst=60770, dl_dst=fa:16:3e:6a:c9:84
nw_src=201.102.204.244/32, nw_dst=76.135.25.15/32, tp_src=445, tp_dst=33214, dl_dst=fa:16:3e:0b:72:1c
nw_src=201.102.204.244/32, nw_dst=76.135.25.15/32, tp_src=445, tp_dst=67, dl_dst=fa:16:3e:87:15:aa
nw_src=201.102.204.242/32, nw_dst=76.135.25.56/32, tp_src=445, tp_dst=60653, dl_dst=fa:16:3e:a7:e5:91
nw_src=201.102.204.244/32, nw_dst=76.135.25.15/32, tp_src=445, tp_dst=33214, dl_dst=fa:16:3e:0b:72:1c
